,dpg2,dpg2_time,dpg6,dpg6_time
0,996.100970671721,1.3028233051300049,979.9077953040908,0.6165957450866699
1,999.6210702480786,2.4959182739257812,978.3349309228225,1.2195162773132324
2,998.9073290659397,3.7493956089019775,973.5762728587123,1.8166093826293945
3,992.4296023451992,14.741290807723999,918.3071656010718,2.961944341659546
4,948.4477018353953,28.404191493988037,-1274.2509764340327,4.172743320465088
5,942.6190969779631,42.187849044799805,-3480.7228587563327,5.43025016784668
6,1015.2542725016743,55.8468701839447,-4534.499107461459,6.649879693984985
7,1015.1913005110298,68.87301254272461,-4172.579137542632,7.8540263175964355
8,993.8059985647444,82.51049399375916,-3488.4541146829715,9.089658498764038
9,1002.3362744617287,95.89128637313843,-4623.162851592526,10.370146989822388
10,980.6721158943197,109.54764032363892,-3401.4285809328485,11.55992603302002
11,1024.709917091619,123.2247564792633,-2209.306336610702,12.75794243812561
12,994.4874919251324,136.32639527320862,-2216.6328032137667,13.946045875549316
13,1000.2440584288327,150.1409993171692,-2037.427891294234,15.183865308761597
14,962.9873215890848,163.202250957489,-2315.9504790631454,16.394388914108276
15,951.6348571593536,176.54373335838318,-2989.231087001886,17.602084159851074
16,998.4512190088956,189.93490076065063,-3857.505011697973,18.773480653762817
17,1026.6198187887874,203.35691857337952,-4580.753478293819,19.985778093338013
18,1008.5486316848521,216.58237314224243,-4754.806632830756,21.21607780456543
19,990.5940769249588,229.96438193321228,-4859.450879257727,22.40963125228882
20,998.2889701927196,243.18519568443298,-4945.553908549059,23.58198356628418
21,1019.5531656320005,256.99150466918945,-4953.819425135487,24.849717617034912
22,998.6454771857522,270.7616021633148,-4972.046728920691,26.05392360687256
23,1023.7938353782621,284.1613759994507,-4971.28030448436,27.258381843566895
24,1014.8636536119942,297.6142587661743,-4897.55273641546,28.467788696289062
25,970.4236321121649,311.1698703765869,-4443.289949191919,29.62024235725403
26,1014.6123460032685,323.77173924446106,-5001.029022981489,30.845730781555176
27,986.0972775482685,333.8017122745514,-4998.154461621187,32.11127734184265
28,987.754055165767,343.6612071990967,-5000.377034489586,33.322224140167236
29,1011.6915355835921,353.7738182544708,-4998.487527963233,34.52591037750244
30,963.435818901435,363.1367654800415,-4998.757638912944,35.736597299575806
31,1022.0773924878623,372.7556324005127,-5000.288272050162,36.92896842956543
32,977.9059782617841,382.76988458633423,-4999.7784089598745,38.09845805168152
33,970.9990072330031,392.1573176383972,-4997.940116007477,39.32678771018982
34,991.307930383554,401.940927028656,-4998.754930495459,40.54790234565735
35,959.2331686067258,411.9438216686249,-5000.101523839962,41.71843671798706
36,983.4201318628398,421.4456548690796,-4998.898511926305,42.88717818260193
37,974.3631714574491,430.173015832901,-5000.058811091732,44.14186406135559
38,993.7841177227018,436.5410737991333,-5001.839852339413,45.305370807647705
39,963.3442008237864,443.0277237892151,-4999.563659684771,46.530866622924805
40,1018.4960756631893,449.31320786476135,-4999.763257339392,47.73308801651001
41,957.0525122787934,455.43714904785156,-5001.325858040148,48.96108841896057
42,1021.0849131249497,458.9666347503662,-5000.222490402441,50.15837574005127
43,1027.9969191788684,462.46310925483704,-4999.76456374276,51.38167476654053
44,984.1058073921392,465.87612557411194,-4999.632321264577,52.587645530700684
45,973.8374773658293,469.55655694007874,-4999.480521598964,53.76020526885986
46,898.8387140820039,472.8456506729126,-5001.198090896974,54.944024085998535
47,980.103852254646,474.8904206752777,-4997.6006829600665,56.173548221588135
48,942.0506393564524,476.1193845272064,-4888.250242290773,57.354548931121826
49,998.9388125311796,477.3525159358978,-3496.0106288079,58.57009506225586
50,1012.9397119900054,478.56688046455383,-4143.488075412415,59.81917357444763
51,1008.5650825132295,479.7693884372711,-4179.635880992873,61.04511642456055
52,971.4925409115181,480.9904217720032,-4106.675090012174,62.2814621925354
53,1027.182985895877,482.17859745025635,-4425.885663139393,63.480955362319946
54,990.5648637393206,483.43527936935425,-4276.148327980318,64.72654676437378
55,1007.779731789592,484.62561869621277,-4519.641107875643,65.93543887138367
