,ddpg,ddpg_time,dpg2,dpg2_time,dpg6,dpg6_time
0,-2510.705139378513,16.98927354812622,1001.0583061670495,0.512885570526123,986.111229811759,0.5340273380279541
1,-228.2974348306285,18.657710313796997,1004.9662353760874,1.0262911319732666,983.9723046294904,1.0683655738830566
2,-1240.1374270336169,27.051281452178955,990.8612649644249,1.5420503616333008,990.9890847557401,1.6049048900604248
3,-2293.692658546684,42.96491861343384,1004.6319524629116,2.187079668045044,932.396357837082,2.288874626159668
4,-145.96907979820747,44.077885150909424,988.0433472247893,2.8740437030792236,-219.78324778938727,3.0313258171081543
5,-2874.4177060944326,64.85131621360779,865.9646218057044,3.551743984222412,-3904.3040315067915,3.7721779346466064
6,-74.34851659455843,65.4175295829773,835.8642253822857,4.23971700668335,-4928.059861254295,4.521662712097168
7,-512.6080052906178,69.08031606674194,836.7509565006276,4.918567895889282,-4990.296916210513,5.233048677444458
8,-62.826392623535895,69.59212040901184,836.079353395228,5.590819358825684,-4995.3865209701835,5.9250640869140625
9,-130.96921115207505,70.51016664505005,841.0532474712488,6.2714924812316895,-4996.621514132374,6.620983362197876
10,-2686.9364217807847,89.34749054908752,844.0724344518014,6.955218076705933,-4996.703689356156,7.3365700244903564
