,dqn1,dqn1_time,dqn2,dqn2_time,ddpg,ddpg_time,sac1,sac1_time,td31,td31_time
0,,,,,-646.6798133876017,1.0439727306365967,-305.98461582370106,0.4313218593597412,-612.7884937550277,1.4754445552825928
1,,,,,-774.3098303767665,2.0835204124450684,-494.7118300012895,1.2378058433532715,-333.41532760488985,3.534522533416748
2,,,,,-1093.6397611906254,3.742779016494751,-137.89512274063424,1.8882274627685547,-449.1719957306347,4.827261447906494
3,,,,,-1604.5566941396937,5.870495319366455,-363.0840229876081,2.755739212036133,-365.42373209746285,6.782581329345703
4,,,,,-781.8065623595288,6.889124393463135,-384.4894951012464,3.6209559440612793,-274.65861250568935,9.650944709777832
5,,,,,-740.2174472520385,8.40030837059021,-172.4816203802248,4.279688596725464,-114.44712275343835,11.018174648284912
6,,,,,-1282.4923978512809,10.026727437973022,-7.0953272744106215,4.8937764167785645,-246.54751522529443,13.568562030792236
7,,,,,-1365.1579244628883,12.028002500534058,-493.2762974043157,5.497934818267822,-124.91480791810238,15.055861949920654
8,,,,,-990.0093871064727,13.756901502609253,-269.70102388331685,6.302425384521484,-1018.9096965649048,22.92951512336731
9,,,,,-1117.851407672918,15.4869544506073,-147.221814595764,7.052059173583984,-529.8008857650435,26.84746217727661
10,,,,,-1070.1792328076745,17.31553888320923,-313.42113726097153,7.947350263595581,-140.3597035246508,29.786386728286743
11,,,,,-168.00756921358305,18.58167290687561,-269.83049128753805,8.63182806968689,-128.17186797192434,32.936713457107544
12,,,,,-678.8771193433545,19.856209754943848,-213.70180447704797,9.263325452804565,-182.67091969984045,36.406075954437256
13,,,,,-361.28936476159635,21.09304714202881,-291.02055623023807,9.860784530639648,-332.71394390662806,39.10672855377197
14,,,,,-226.29770236034616,22.416566371917725,-432.20853521064475,10.70617151260376,-212.41392708094793,41.84359002113342
15,,,,,-231.29209341260855,23.896849393844604,-207.0946525024666,11.636022090911865,-259.052055530129,43.85866069793701
16,,,,,30.05135888270226,25.295207738876343,-285.83482292035626,12.392417430877686,-273.76196666319,45.62830924987793
17,,,,,-156.33774226936433,26.61966061592102,-129.78942668700313,13.564141035079956,-355.41872950961147,47.84733700752258
18,,,,,-103.47596048415103,28.087836503982544,-82.85002352942114,15.34500002861023,-495.58316658273225,49.43574261665344
19,,,,,-224.52753318971634,30.944953441619873,-208.55758234697956,16.946074724197388,-375.7596804657679,52.06846737861633
20,,,,,-551.6825885507441,34.51961970329285,-17.385449114401922,18.549290895462036,-437.61515131096155,54.17062425613403
