,dqn1,dqn1_time,dqn2,dqn2_time,ddpg,ddpg_time,sac1,sac1_time,td31,td31_time
0,,,,,-1278.1970951894627,2.7821731567382812,-1603.4563172137798,1.0699758529663086,-1060.281100602546,4.205578565597534
1,,,,,-1176.5982733924557,6.491375207901001,-1851.400518076254,2.3086235523223877,-1677.178465317062,9.210660696029663
2,,,,,-1327.0726302014598,10.507280111312866,-1659.7436996648385,3.8156609535217285,-1599.793435963106,14.425374031066895
3,,,,,-1707.1538206805012,14.388301372528076,-938.6301482590598,5.152503252029419,-1190.2702960406314,19.7405743598938
4,,,,,-1346.7923230061836,19.087701082229614,-1480.948317751241,6.371196031570435,-1325.312428140541,25.05955696105957
5,,,,,-1613.6299672601813,23.05097270011902,-1345.496030666351,7.7815752029418945,-1099.0818843401153,30.564080953598022
6,,,,,-1347.375749718914,27.516968250274658,-1444.260305952243,9.107797861099243,-1253.0987164084866,36.562504529953
7,,,,,-1.1626794419591422,32.58634829521179,-1601.3213886408869,10.528225183486938,-782.9507387137918,41.96912908554077
8,,,,,-979.2224952543648,36.96591830253601,-1363.371409527104,11.926190853118896,-1156.7343353280905,47.420108795166016
9,,,,,-962.1853616022437,40.87298798561096,-1529.2254115055146,13.343874454498291,-1488.5617635394517,53.25761556625366
10,,,,,-881.6300526553396,44.796539545059204,-1212.9501781453025,14.854634523391724,-1459.251834367935,59.731070041656494
11,,,,,-747.11663280706,48.929707765579224,-1015.6711432701187,16.37653422355652,-1353.2970728600155,66.52386283874512
12,,,,,-251.19707044287858,52.960744857788086,-989.9890760506311,17.80844473838806,-1157.524324029962,72.402099609375
13,,,,,-861.6121919661357,56.74951791763306,-1115.3739035543629,19.179499864578247,-1000.7957132669019,78.52001428604126
14,,,,,-242.75807195388532,60.6682243347168,-1048.0261703322938,20.539209365844727,-752.071682602657,85.25461935997009
15,,,,,-629.2939723567492,64.5350992679596,-1077.2183907663357,22.127049446105957,-372.4321593428515,91.62529945373535
16,,,,,-1730.2912292454564,68.64993858337402,-1185.2887220646796,23.568912029266357,-632.3153109869608,97.15782523155212
17,,,,,-253.87372892676157,72.84255146980286,-1175.4455374349309,25.119384288787842,-497.5768057761839,103.7394049167633
18,,,,,-247.8222860741161,76.80714631080627,-1211.8048358728688,26.5534827709198,-749.6296221168576,111.36871314048767
19,,,,,-250.38983057570758,80.76912450790405,-1197.7744024181534,28.05211853981018,-128.42659973305118,117.36919665336609
20,,,,,-382.41807896665165,84.72980070114136,-1238.3681864263147,29.466107845306396,-255.3929065532956,122.94383430480957
