,dqn1,dqn1_time,dqn2,dqn2_time,ddpg,ddpg_time,sac1,sac1_time,td31,td31_time
0,,,,,-107.44338031554346,1.4366364479064941,-21.167072657170827,3.2016971111297607,-120.40011217757338,1.2526576519012451
1,,,,,-55.67729599934493,11.129458665847778,-118.38136499354927,3.679597854614258,-105.26555739819196,3.5916202068328857
2,,,,,-123.16937388430784,11.96906852722168,-106.8363721105288,4.086182355880737,-133.88973814268036,8.843299388885498
3,,,,,-55.58926964092023,23.540336847305298,-99.80558505276947,4.506192684173584,-118.24414300369533,10.62421727180481
4,,,,,-55.31906763596104,34.7759575843811,-112.16025741479422,4.958375930786133,-59.077229964382965,26.176546096801758
5,,,,,-55.50922600870658,46.25550055503845,-106.25987566838351,5.454927921295166,-54.62184373508271,42.629820346832275
6,,,,,-55.263621513576716,58.655731439590454,-29.78659223087888,9.201493740081787,-58.349358680382295,57.04381251335144
7,,,,,-55.21033035560217,68.8350338935852,-107.00316148889499,9.675370216369629,-60.266482918497694,71.25525188446045
8,,,,,-55.60271858812016,78.231112241745,-112.89151507431704,10.171739101409912,-126.31682502790417,73.9073576927185
9,,,,,-55.22906401450762,87.6381459236145,-111.93749592835036,10.656340837478638,-67.54548873861441,90.10038208961487
10,,,,,-55.58811221613255,97.0354311466217,-109.8203860965396,11.00728988647461,-131.8234746467794,94.19810056686401
11,,,,,-55.61921631994984,106.42590069770813,-107.37713057721444,11.360715389251709,-119.34122087154412,96.80441689491272
12,,,,,-55.24793992990954,115.82416009902954,-38.64785930382505,15.088255167007446,-130.64778271759923,100.33400750160217
13,,,,,-55.22406473903312,125.22012186050415,-23.190129752388145,18.483436107635498,-124.97802180522805,101.717200756073
14,,,,,-55.21932546033851,134.60587739944458,-111.29331235443055,18.848458290100098,-110.26269053404344,104.24495553970337
15,,,,,-55.21049008231316,144.00226092338562,-29.204687170734747,22.225003957748413,-118.80511564024414,106.9638135433197
16,,,,,-55.59229386947135,153.4290235042572,-27.641039894968827,25.62242293357849,-107.28347186721116,112.16002559661865
17,,,,,-55.2081737167514,162.8534026145935,-25.816528226136885,29.03477382659912,-113.7092295355294,115.50882577896118
18,,,,,-55.60574585843538,172.2877094745636,-123.36605540651331,29.516808032989502,-131.38066766183763,119.49999260902405
19,,,,,-55.635622130008585,181.71631002426147,-32.61126114285521,32.88729119300842,-130.05720343737306,123.42088222503662
20,,,,,-55.31931167103677,191.16901874542236,-108.41005625692685,35.16263175010681,-130.90200269412932,127.04170060157776
