,ddpg,ddpg_time
0,-374.7217333710733,0.41832733154296875
1,-354.8882508698463,1.5208051204681396
2,-376.0534079609902,2.6235833168029785
3,-355.5003449422046,3.7386202812194824
4,-355.8507678071672,4.87403130531311
5,-270.89330894283296,6.038233995437622
6,-304.4504249902753,7.14639949798584
7,-260.76086920814487,8.241686344146729
8,-159.11488499844285,9.340749263763428
9,-280.15618406129664,10.439669847488403
10,-256.7527520087508,11.5348482131958
11,-362.6307637127187,12.620448112487793
12,-249.42887415962832,13.730565309524536
13,-363.9783333483792,14.869951248168945
14,-420.31137212269397,16.133676767349243
15,-309.89619032268445,17.39362120628357
16,-357.6429263042658,18.681963443756104
17,-231.47001948542692,19.96856141090393
18,-237.38130987712765,21.238138675689697
19,-251.18453761049383,22.487284898757935
20,-335.95757144090106,23.75281524658203
21,-332.32905811148925,25.05640196800232
22,-207.0948265690665,26.3630850315094
23,-275.68336493957906,27.61418080329895
24,-379.28723140909733,28.88975214958191
25,-335.13456472580697,30.14669179916382
26,-306.4359678686237,31.41371250152588
27,-363.5975924896204,32.656213998794556
28,-414.01353808673844,33.929821729660034
29,-271.1280360425882,35.22482466697693
30,-254.64394090410167,36.546204566955566
31,-324.8913327346073,37.794971227645874
32,-424.33680757348844,39.07508969306946
33,-249.29755183628896,40.348111629486084
34,-310.03346434845594,41.61722707748413
35,-422.1079053719964,42.87948536872864
36,-287.3986061715812,44.16632795333862
37,-354.50075923005255,45.50222659111023
38,-188.2484228383183,46.785619020462036
39,-335.3351798383303,48.116334676742554
40,-352.5691911029443,49.38507795333862
41,-350.4418839618795,50.66943049430847
42,-326.9303911888549,51.954678535461426
43,-434.87741020365075,53.212987422943115
44,-427.3708700894339,54.52544689178467
45,-293.7740951797771,55.851677656173706
46,-349.2321099296895,57.17425346374512
47,-331.1893169653719,58.448285818099976
48,-318.4416695311513,59.72234129905701
49,-262.6569744179357,61.04635429382324
50,-310.66981690505634,62.304301738739014
51,-413.0912611479764,63.57286071777344
52,-271.33592701019853,64.85974907875061
53,-372.47602535296596,66.21529293060303
54,-237.4042985076686,67.45346188545227
55,-341.40429518265194,68.73868799209595
56,-237.82817358043093,70.03808736801147
57,-339.61349382439846,71.316899061203
58,-332.822592841588,72.61154913902283
59,-301.5485406432471,73.88231539726257
60,-322.26802592470017,75.14925146102905
61,-418.24501146380555,76.54280686378479
62,-244.81059490858203,77.7957911491394
63,-252.46571125758894,79.0727014541626
64,-433.2891121906093,80.32402992248535
65,-401.90811854929296,81.60862231254578
66,-396.364929135748,82.90216398239136
67,-275.3931402649094,84.18831467628479
68,-385.37764069540856,85.46595621109009
69,-313.7657921389642,86.81168389320374
70,-423.5478596549536,88.11724972724915
71,-336.59139457958145,89.36601734161377
72,-417.94073426616154,90.6693708896637
73,-289.1168262023655,91.96058821678162
74,-254.08950624576082,93.2366292476654
75,-416.2633925414376,94.52166056632996
76,-432.15208644639904,95.82891869544983
77,-238.2037482030596,97.10579180717468
78,-419.7334412118575,98.37063026428223
79,-378.86648705759836,99.6334764957428
80,-434.69428061745015,100.90037226676941
81,-266.22857832177067,102.16239047050476
82,-290.7484110927183,103.4320900440216
83,-275.15360182485614,104.75844216346741
84,-333.676586068771,106.1132869720459
85,-382.851698735367,107.41606855392456
86,-301.99135353032807,108.69719099998474
87,-277.03370697801535,109.99724459648132
88,-397.43794061901076,111.28623580932617
89,-291.00366843602575,112.56024932861328
90,-441.7358743642708,113.85355854034424
91,-281.02088706632105,115.15830779075623
92,-326.1231212126156,116.51347970962524
93,-232.54301544560545,117.76805400848389
94,-237.7858268234638,119.04283237457275
95,-303.91633452988214,120.30118131637573
96,-213.20255948675367,121.54403972625732
97,-403.92197245142114,122.8157274723053
98,-305.9240986696483,124.07598328590393
99,-323.45420011421106,125.36462569236755
100,-315.37553790932276,126.69072842597961
101,-2.5973654588693647,127.94784212112427
102,-350.6940565485121,129.23805856704712
103,-436.33001466367034,130.49387431144714
104,-271.8968974013912,131.76989912986755
105,-434.2315349966561,133.02824568748474
106,-237.11213106747246,134.30807042121887
107,-240.284792648435,135.6125340461731
108,-320.04486955141994,136.9368748664856
109,-361.12032223783086,138.1959195137024
110,-425.94070803490206,139.4432168006897
111,-411.69329410454174,140.70307803153992
112,-425.5325002723897,141.96775197982788
113,-343.8657760700033,143.32062888145447
114,-329.6216067140035,144.6399109363556
115,-385.9675420100952,145.98959040641785
116,-339.9406408479914,147.28223276138306
117,-284.8380805660607,148.5447072982788
118,-311.7422341790209,149.80702686309814
