,dqn2,dqn2_time
0,-401.03031018333445,0.07213926315307617
1,-388.49539672074127,0.23917269706726074
2,-379.06836365680283,0.4056088924407959
3,-354.65968502225877,0.5702962875366211
4,-321.20996544802716,0.7359664440155029
5,-287.009309347944,0.902827262878418
6,-285.5691233065745,1.0674431324005127
7,-329.3963991331053,1.2334911823272705
8,-313.4659143773916,1.3986122608184814
9,-389.6231499076729,1.5623972415924072
10,-379.71468977677307,1.7293922901153564
11,-297.2216241362868,1.8968379497528076
12,-377.3425869415137,2.0619966983795166
13,-240.04606917997057,2.22883677482605
14,-325.0098076887622,2.400850296020508
15,-394.3432612833753,2.5739986896514893
16,-313.9219861849558,2.748995542526245
17,-391.6759869219483,2.924962043762207
18,-234.84050397627865,3.0991177558898926
19,-373.97273304957804,3.282397985458374
20,-373.82252611545266,3.4628829956054688
21,-234.51963306344422,3.646616220474243
22,-390.7060874376735,3.829468011856079
23,-180.16175836522658,4.010212182998657
24,-330.3370236070712,4.191197872161865
25,-385.79211409499686,4.373141527175903
26,-366.6614714912064,4.5510289669036865
27,-272.6215788560707,4.731321096420288
28,-378.98941069212697,4.912378549575806
29,-398.98174109778915,5.093884468078613
30,-291.4913583950168,5.2824013233184814
31,-241.5458589815417,5.465774774551392
32,-391.7224005555755,5.651995658874512
33,-389.6201777518534,5.839230298995972
34,-305.1306118593452,6.0222039222717285
35,-362.93070715839553,6.212056398391724
36,-291.7917771718471,6.4019856452941895
37,-243.23044647452866,6.595716238021851
38,-381.0920887061028,6.78995943069458
39,-378.9714111612548,6.9827375411987305
40,-306.84397221873786,7.176455974578857
41,-353.27175289204325,7.361291885375977
42,-235.36308998427117,7.539309740066528
43,-245.53063592787933,7.719933271408081
44,-380.0919820374406,7.903273105621338
45,-391.5137451390355,8.083940029144287
46,-365.94351336384034,8.265254974365234
47,-229.3146144277774,8.442536354064941
48,-397.0839691413941,8.622684001922607
49,-371.7826120071244,8.803342342376709
50,-240.48876939072193,8.983469009399414
51,-394.7948245050611,9.162566900253296
52,-347.38559253259973,9.341403245925903
53,-357.78318052240746,9.523149490356445
54,-329.08048514845024,9.70315957069397
55,-312.5731563048621,9.882317304611206
56,-319.4255104508304,10.062384128570557
57,-401.55035748460745,10.239712476730347
58,-394.5442120600487,10.427512168884277
59,-319.02152342303515,10.605691909790039
60,-349.2502910593483,10.78947401046753
61,-351.1497092848497,10.969297170639038
62,-385.88345468926013,11.152311563491821
63,-350.56082479948543,11.334362506866455
64,-378.80200343384485,11.512227773666382
65,-295.55386581220534,11.692891120910645
66,-391.2251082492737,11.872456550598145
67,-389.3907647710692,12.052194833755493
68,-242.64896421599286,12.237074851989746
69,-235.07515634419758,12.41834545135498
70,-268.2733288629367,12.598093748092651
71,-296.3704443353677,12.783761024475098
72,-385.5126049487148,12.962225914001465
73,-398.2871899624846,13.144180536270142
74,-357.3850010921377,13.324777603149414
75,-380.0837316975832,13.503662586212158
76,-234.6737491610458,13.686139345169067
77,-261.4604771575976,13.868345737457275
78,-341.1784343775852,14.052372694015503
79,-327.41358315040463,14.2421133518219
80,-386.8672431795854,14.42550277709961
81,-390.3975759263607,14.606932640075684
82,-389.4309635029893,14.795490980148315
83,-341.7464942574269,14.978929996490479
84,-390.95983605247613,15.162821531295776
85,-352.2445642408352,15.350684642791748
86,-304.76932374746485,15.53138256072998
87,-386.67327141057604,15.716129541397095
88,-397.54894875557466,15.906021118164062
89,-347.2415627439421,16.09825563430786
90,-233.9700618204372,16.292237997055054
91,-394.85077217712416,16.486964225769043
92,-317.4496596182948,16.68838620185852
93,-378.2109740219293,16.889575481414795
94,-399.9859599320831,17.09187912940979
95,-373.63488004110263,17.289442777633667
96,-259.593900805218,17.47267746925354
97,-310.7850678103369,17.659078121185303
98,-298.67462676016686,17.846410274505615
99,-384.1355947517643,18.02864694595337
100,-344.9498779501261,18.21359419822693
101,-389.75648599500425,18.394280433654785
102,-346.742614277787,18.584051370620728
103,-355.07406542335116,18.766644716262817
104,-390.51089913373403,18.952269077301025
105,-361.9416463899865,19.137279748916626
106,-381.0225926437913,19.318165063858032
107,-375.4386992727418,19.504579305648804
108,-393.15097555521066,19.697264671325684
109,-323.2752476845232,19.877312183380127
110,-362.39465510721635,20.061082124710083
111,-234.70875553368512,20.24566626548767
112,-378.97846619204216,20.43103003501892
113,-234.91271792671373,20.61306071281433
114,-314.72001974574545,20.800679683685303
115,-237.73290700385218,20.987273454666138
116,-315.9728244861512,21.17535400390625
117,-253.62965485969124,21.357723712921143
118,-240.65168968197193,21.53843402862549
119,-237.6109544045203,21.726259469985962
120,-377.8037172901091,21.91413116455078
121,-367.7874359134467,22.094335556030273
122,-336.28509870214253,22.27956509590149
123,-390.6354769475286,22.465859413146973
124,-383.87218189022246,22.6553635597229
125,-393.37372624370096,22.838284254074097
126,-394.436365673336,23.024641513824463
127,-378.1429846536888,23.21306085586548
128,-350.8105818009831,23.39827060699463
129,-382.26394923206595,23.584739685058594
130,-350.25221067155496,23.778098821640015
131,-336.56382631747573,23.963603734970093
132,-392.45525837436134,24.151074409484863
133,-309.57713594912155,24.341917514801025
134,-328.6863400132123,24.51984405517578
135,-379.20344990276556,24.697962045669556
136,-397.05782376802,24.879298448562622
137,-386.72790275816203,25.06605291366577
138,-284.9968861978343,25.246236085891724
139,-281.362880167332,25.43481945991516
140,-289.233916505775,25.61954641342163
141,-366.22143408942395,25.809720277786255
142,-324.00070997960995,25.994980335235596
143,-376.63391501529736,26.18218994140625
144,-317.2822587709188,26.373915433883667
145,-240.3643216086455,26.56656551361084
146,-332.7724617697433,26.7616970539093
147,-240.05955279070747,26.956554889678955
148,-397.6649374102733,27.149608850479126
